일자,평균기온(℃),최대기온(℃),최소기온(℃),평균 지표온도(℃),최대 지표온도(℃),최소 지표온도(℃),습도(%),일사량(W/㎡),풍속(㎧)
2019-01-13,6.62 ,15.65 ,5.12 ,4.87 ,5.19 ,4.61 ,90.10 ,152.50 ,2.60 
2019-01-14,5.44 ,8.29 ,3.27 ,5.08 ,5.19 ,4.98 ,84.60 ,146.30 ,3.41 
2019-01-15,4.93 ,9.02 ,2.09 ,4.85 ,5.11 ,4.67 ,84.20 ,167.70 ,2.96 
2019-01-16,4.97 ,8.76 ,1.00 ,4.75 ,4.87 ,4.63 ,77.52 ,156.20 ,4.44 
2019-01-17,0.59 ,2.42 ,-0.55 ,4.53 ,4.86 ,4.32 ,81.30 ,137.20 ,4.83 
2019-01-18,2.88 ,5.73 ,1.07 ,4.07 ,4.33 ,3.96 ,74.01 ,136.10 ,4.42 
2019-01-19,4.00 ,10.13 ,-2.03 ,3.84 ,4.03 ,3.68 ,79.29 ,177.50 ,2.38 
2019-01-20,7.20 ,11.59 ,-1.97 ,3.70 ,4.00 ,3.51 ,89.40 ,124.50 ,2.08 
2019-01-21,4.70 ,10.21 ,1.21 ,4.15 ,4.32 ,3.83 ,85.10 ,147.60 ,6.15 
2019-01-22,3.49 ,6.39 ,1.07 ,4.08 ,4.27 ,3.93 ,76.41 ,182.40 ,4.91 
2019-01-23,5.78 ,9.83 ,3.57 ,4.13 ,4.40 ,3.94 ,71.45 ,181.80 ,3.38 
2019-01-24,6.03 ,10.91 ,-0.28 ,4.16 ,4.40 ,3.92 ,71.19 ,186.10 ,3.35 
2019-01-25,4.72 ,12.06 ,-1.30 ,4.14 ,4.33 ,3.92 ,64.97 ,191.50 ,3.14 
2019-01-26,3.58 ,8.02 ,-2.44 ,3.92 ,4.31 ,3.69 ,74.91 ,152.90 ,4.04 
2019-01-27,1.45 ,4.11 ,-0.07 ,3.65 ,3.89 ,3.47 ,70.36 ,177.60 ,6.04 
2019-01-28,3.26 ,7.81 ,-0.08 ,3.38 ,3.61 ,3.14 ,79.36 ,192.00 ,3.05 
2019-01-29,5.07 ,8.29 ,0.26 ,3.42 ,3.61 ,3.26 ,75.28 ,136.40 ,3.80 
2019-01-30,4.48 ,11.18 ,-0.14 ,3.42 ,3.82 ,3.18 ,79.40 ,185.40 ,2.32 
2019-01-31,6.58 ,10.79 ,3.03 ,3.94 ,4.46 ,3.78 ,86.50 ,133.00 ,1.42 
2019-02-01,2.35 ,6.20 ,-0.88 ,4.37 ,4.50 ,4.10 ,96.70 ,113.40 ,5.29 
2019-02-02,1.50 ,3.74 ,-0.55 ,3.83 ,4.10 ,3.62 ,82.80 ,161.60 ,5.25 
2019-02-03,6.08 ,10.99 ,-2.24 ,3.47 ,3.63 ,3.17 ,81.30 ,188.20 ,3.22 
2019-02-04,12.86 ,19.61 ,6.67 ,4.67 ,6.28 ,3.09 ,95.10 ,166.00 ,5.01 
2019-02-05,4.41 ,8.21 ,-0.62 ,6.03 ,6.32 ,5.82 ,63.87 ,197.90 ,4.45 
2019-02-06,5.79 ,13.37 ,-3.45 ,5.23 ,5.83 ,4.87 ,76.17 ,191.80 ,1.80 
2019-02-07,8.91 ,15.49 ,3.84 ,5.44 ,5.77 ,5.29 ,89.00 ,146.50 ,1.25 
2019-02-08,4.75 ,12.48 ,-0.82 ,5.56 ,5.77 ,5.39 ,89.30 ,124.40 ,4.04 
2019-02-09,1.19 ,6.82 ,-1.02 ,4.86 ,5.40 ,4.59 ,72.45 ,175.30 ,4.42 
2019-02-10,0.22 ,2.02 ,-1.15 ,4.40 ,4.76 ,4.05 ,84.40 ,134.20 ,5.11 
2019-02-11,0.76 ,3.77 ,-0.68 ,3.71 ,4.05 ,3.55 ,77.73 ,141.30 ,3.65 
2019-02-12,1.21 ,3.00 ,0.13 ,3.42 ,3.64 ,3.30 ,81.30 ,127.90 ,4.40 
2019-02-13,3.45 ,8.65 ,-1.15 ,3.20 ,3.53 ,3.01 ,71.22 ,194.90 ,2.08 
2019-02-14,4.57 ,7.54 ,2.42 ,3.68 ,4.09 ,3.52 ,67.40 ,199.70 ,3.44 
2019-02-15,2.91 ,9.17 ,-1.83 ,3.96 ,4.14 ,3.79 ,76.95 ,156.80 ,2.19 
2019-02-16,3.66 ,7.69 ,-1.97 ,3.80 ,4.14 ,3.63 ,94.60 ,120.80 ,2.50 
2019-02-17,2.01 ,4.38 ,0.60 ,3.71 ,3.79 ,3.65 ,83.40 ,134.80 ,5.77 
2019-02-18,1.90 ,5.18 ,0.60 ,3.53 ,3.84 ,3.32 ,77.82 ,181.90 ,4.00 
2019-02-19,5.37 ,9.03 ,1.17 ,3.65 ,3.84 ,3.48 ,85.50 ,131.40 ,2.09 
2019-02-20,8.31 ,12.40 ,3.71 ,4.71 ,5.45 ,3.84 ,98.30 ,140.40 ,3.83 
2019-02-21,4.78 ,7.72 ,2.93 ,5.23 ,5.44 ,5.08 ,86.50 ,149.70 ,3.63 
2019-02-22,4.98 ,9.36 ,2.01 ,5.18 ,5.51 ,5.02 ,77.62 ,192.30 ,2.87 
2019-02-23,6.03 ,10.44 ,1.38 ,5.37 ,5.51 ,5.23 ,92.30 ,130.80 ,2.08 
2019-02-24,7.13 ,13.57 ,2.36 ,5.44 ,5.85 ,5.22 ,79.94 ,197.60 ,2.37 
2019-02-25,7.47 ,14.35 ,0.60 ,5.79 ,6.24 ,5.52 ,76.56 ,212.00 ,1.97 
2019-02-26,8.54 ,13.20 ,4.44 ,6.01 ,6.35 ,5.71 ,54.58 ,210.00 ,3.87 
2019-02-27,8.05 ,14.76 ,2.55 ,6.09 ,6.43 ,5.73 ,33.46 ,216.40 ,3.44 
2019-02-28,8.36 ,10.38 ,5.13 ,6.18 ,6.42 ,6.04 ,92.10 ,119.10 ,1.47 
2019-03-01,8.57 ,13.14 ,5.80 ,6.45 ,7.02 ,6.21 ,82.30 ,188.00 ,3.02 
2019-03-02,7.41 ,11.75 ,4.05 ,6.76 ,7.05 ,6.44 ,62.98 ,206.10 ,3.21 
2019-03-03,7.95 ,12.54 ,1.00 ,6.76 ,7.05 ,6.58 ,88.20 ,128.50 ,1.52 
2019-03-04,9.45 ,11.79 ,7.88 ,6.84 ,7.05 ,6.74 ,96.60 ,124.40 ,1.41 
2019-03-05,8.19 ,11.12 ,6.07 ,7.20 ,7.57 ,7.02 ,82.30 ,189.50 ,3.67 
2019-03-06,9.56 ,16.16 ,1.61 ,7.15 ,7.56 ,6.83 ,63.22 ,169.40 ,1.85 
2019-03-07,7.98 ,11.53 ,6.46 ,7.28 ,7.34 ,7.19 ,89.30 ,134.70 ,4.41 
2019-03-08,5.99 ,8.83 ,4.25 ,7.25 ,7.53 ,7.05 ,85.40 ,204.90 ,4.98 
2019-03-09,7.23 ,16.37 ,-1.97 ,7.07 ,7.50 ,6.62 ,59.19 ,227.10 ,1.65 
2019-03-10,9.48 ,15.37 ,0.87 ,7.06 ,7.42 ,6.76 ,90.60 ,154.70 ,3.38 
2019-03-11,9.96 ,11.97 ,7.14 ,7.86 ,8.15 ,7.33 ,99.90 ,114.80 ,4.43 
2019-03-12,8.95 ,14.01 ,2.69 ,7.94 ,8.19 ,7.67 ,71.20 ,200.60 ,3.94 
2019-03-13,9.58 ,16.10 ,3.30 ,8.08 ,8.51 ,7.76 ,58.70 ,224.10 ,5.34 
2019-03-14,5.45 ,9.37 ,2.02 ,7.98 ,8.51 ,7.55 ,58.18 ,230.90 ,6.06 
2019-03-15,6.48 ,14.22 ,-0.35 ,7.56 ,8.02 ,7.22 ,57.24 ,185.60 ,1.85 
2019-03-16,7.45 ,16.04 ,-1.83 ,7.20 ,7.74 ,6.69 ,64.47 ,226.20 ,4.05 
2019-03-17,8.39 ,16.84 ,3.13 ,7.53 ,8.12 ,7.08 ,60.28 ,224.90 ,4.11 
2019-03-18,10.13 ,22.34 ,2.15 ,8.14 ,8.84 ,7.76 ,56.02 ,233.50 ,3.23 
2019-03-19,9.16 ,15.43 ,1.54 ,8.31 ,8.83 ,8.02 ,83.30 ,151.40 ,1.75 
2019-03-20,10.42 ,16.64 ,4.51 ,8.38 ,9.14 ,8.02 ,77.58 ,229.20 ,3.01 
2019-03-21,13.68 ,18.27 ,3.71 ,8.90 ,10.12 ,8.55 ,81.10 ,145.30 ,5.24 
2019-03-22,11.85 ,19.62 ,5.26 ,10.70 ,11.05 ,10.12 ,86.10 ,201.70 ,5.39 
2019-03-23,5.52 ,9.64 ,3.44 ,10.41 ,10.97 ,10.06 ,76.98 ,238.50 ,6.10 
2019-03-24,5.80 ,10.31 ,3.17 ,9.68 ,10.37 ,9.30 ,64.38 ,206.20 ,5.46 
2019-03-25,5.28 ,12.90 ,0.33 ,9.07 ,9.58 ,8.58 ,64.45 ,235.30 ,2.80 
2019-03-26,6.15 ,12.20 ,-0.62 ,8.79 ,9.44 ,8.47 ,75.42 ,150.70 ,1.43 
2019-03-27,12.35 ,18.53 ,3.16 ,8.67 ,9.58 ,8.21 ,68.79 ,231.50 ,3.46 
2019-03-28,13.20 ,22.50 ,1.27 ,9.29 ,9.89 ,8.82 ,51.99 ,236.10 ,2.36 
2019-03-29,14.84 ,21.08 ,10.04 ,10.08 ,10.81 ,9.79 ,67.94 ,207.80 ,2.03 
2019-03-30,12.53 ,20.42 ,5.45 ,10.68 ,11.01 ,10.40 ,81.20 ,191.80 ,1.51 
2019-03-31,10.24 ,16.08 ,4.92 ,10.78 ,11.01 ,10.54 ,71.30 ,190.80 ,4.80 
2019-04-01,5.58 ,8.86 ,3.91 ,10.22 ,10.88 ,9.88 ,53.35 ,213.50 ,5.87 
2019-04-02,7.35 ,11.73 ,3.98 ,9.53 ,10.01 ,9.09 ,59.47 ,238.70 ,3.99 
2019-04-03,9.32 ,14.01 ,5.45 ,9.76 ,10.25 ,9.41 ,53.67 ,234.50 ,2.90 
2019-04-04,7.85 ,13.75 ,1.31 ,9.82 ,10.23 ,9.35 ,40.59 ,248.00 ,2.69 
2019-04-05,10.43 ,18.22 ,2.02 ,9.70 ,10.18 ,9.18 ,41.31 ,232.30 ,1.81 
2019-04-06,11.75 ,20.62 ,4.04 ,10.18 ,10.94 ,9.74 ,70.20 ,242.10 ,2.47 
2019-04-07,13.70 ,22.63 ,5.18 ,10.74 ,11.35 ,10.30 ,65.27 ,238.10 ,1.68 
2019-04-08,14.08 ,24.59 ,4.65 ,11.14 ,11.67 ,10.71 ,84.00 ,211.00 ,2.39 
2019-04-09,14.17 ,22.09 ,6.13 ,11.62 ,12.25 ,11.19 ,63.09 ,242.90 ,1.56 
2019-04-10,12.94 ,16.62 ,7.55 ,11.85 ,12.25 ,11.65 ,88.70 ,157.20 ,4.40 
2019-04-11,9.19 ,14.09 ,6.81 ,11.70 ,11.88 ,11.40 ,99.80 ,123.90 ,3.67 
2019-04-12,9.20 ,12.67 ,7.15 ,11.12 ,11.40 ,11.00 ,96.70 ,140.80 ,1.63 
2019-04-13,10.53 ,16.64 ,3.16 ,11.10 ,11.70 ,10.79 ,69.46 ,253.10 ,2.55 
2019-04-14,9.95 ,18.30 ,1.41 ,11.24 ,11.69 ,10.87 ,73.28 ,216.80 ,1.67 
2019-04-15,12.78 ,18.20 ,6.54 ,11.27 ,11.50 ,11.03 ,74.21 ,174.90 ,4.03 
2019-04-16,11.72 ,19.50 ,4.65 ,11.21 ,11.79 ,10.76 ,45.97 ,256.00 ,3.37 
